Tbr	Kw	Tc	Pc	Acentric factor-LK	Acentric factor-Aspen
0.663 	13.71 	455.18479	30.6139044	0.2278 	0.238945
0.657 	13.27 	463.59142	32.5660203	0.2163 	0.227325
0.650 	12.80 	472.591154	34.9029948	0.2036 	0.214477
0.643 	12.35 	481.698591	37.4144178	0.1912 	0.202007
0.645 	12.38 	484.377051	36.7106241	0.1965 	0.2074
0.648 	12.41 	487.201937	35.9817952	0.2022 	0.213174
0.650 	12.44 	490.001264	35.23983	0.2082 	0.219208
0.652 	12.47 	492.682165	34.5694931	0.2139 	0.224891
0.655 	12.50 	495.220234	33.9353065	0.2193 	0.230427
0.657 	12.53 	497.660957	33.341784	0.2246 	0.235782
0.659 	12.56 	500.112479	32.7589344	0.2300 	0.24121
0.661 	12.59 	502.60143	32.1798699	0.2355 	0.246776
0.663 	12.62 	505.12747	31.6049431	0.2412 	0.252483
0.665 	12.65 	507.716804	31.0281108	0.2471 	0.258398
0.667 	12.67 	510.42266	30.4545349	0.2531 	0.264511
0.670 	12.70 	513.111593	29.8986982	0.2592 	0.270639
0.672 	12.73 	515.722475	29.3735976	0.2651 	0.276628
0.674 	12.75 	518.266355	28.8913087	0.2708 	0.282344
0.676 	12.78 	520.742712	28.434054	0.2763 	0.287935
0.678 	12.80 	523.306521	27.9525709	0.2823 	0.29396
0.680 	12.83 	525.865456	27.4980479	0.2882 	0.299865
0.682 	12.85 	528.43512	27.0512188	0.2941 	0.30585
0.684 	12.88 	530.981016	26.6187503	0.3000 	0.311824
0.686 	12.90 	533.529115	26.1950833	0.3060 	0.317857
0.688 	12.92 	536.07086	25.781618	0.3120 	0.323925
0.690 	12.95 	538.606326	25.3780312	0.3181 	0.330029
0.692 	12.97 	541.127078	24.9855561	0.3242 	0.336146
0.694 	12.99 	543.679124	24.6092099	0.3302 	0.342226
0.696 	13.01 	546.19632	24.2332745	0.3364 	0.34844
0.697 	13.03 	548.736638	23.8742227	0.3425 	0.354592
0.699 	13.05 	551.262832	23.5247713	0.3486 	0.360755
0.701 	13.07 	553.791819	23.1818205	0.3548 	0.366978
0.703 	13.09 	556.315226	22.8465754	0.3610 	0.373239
0.705 	13.11 	558.833115	22.5188072	0.3672 	0.379536
0.707 	13.13 	561.366873	22.2071569	0.3734 	0.385739
0.708 	13.15 	563.874038	21.8935484	0.3797 	0.392111
0.710 	13.16 	566.405728	21.5941268	0.3860 	0.398411
0.712 	13.18 	568.932347	21.3011347	0.3923 	0.404747
0.714 	13.20 	571.445706	21.0155802	0.3986 	0.411094
0.715 	13.21 	573.992535	20.7419114	0.4048 	0.417389
0.717 	13.23 	576.504394	20.4670096	0.4112 	0.423835
0.719 	13.24 	579.041764	20.2046791	0.4175 	0.430201
0.721 	13.26 	581.566362	19.9488361	0.4239 	0.436576
0.722 	13.27 	584.094594	19.69711	0.4303 	0.443013
0.724 	13.28 	586.648971	19.4570388	0.4366 	0.449364
0.725 	13.30 	589.168337	19.2152799	0.4430 	0.455872
0.727 	13.31 	591.70604	18.9857521	0.4494 	0.462265
0.729 	13.32 	594.286684	18.7650127	0.4557 	0.46862
0.730 	13.33 	596.824266	18.5433212	0.4621 	0.475108
0.732 	13.34 	599.380828	18.3330302	0.4685 	0.481474
0.733 	13.35 	601.933559	18.1267323	0.4748 	0.487872
0.735 	13.36 	604.474491	17.9252584	0.4812 	0.494275
0.736 	13.37 	607.027688	17.7257102	0.4876 	0.500766
0.738 	13.37 	609.577142	17.52989	0.4941 	0.50729
0.739 	13.38 	612.12289	17.3377038	0.5006 	0.513849
0.741 	13.39 	614.657028	17.1499316	0.5072 	0.520413
0.742 	13.40 	617.195498	16.9647288	0.5137 	0.527041
0.744 	13.41 	619.698579	16.7773409	0.5205 	0.533845
0.745 	13.42 	622.229818	16.5988618	0.5272 	0.540545
0.747 	13.42 	624.757539	16.4235884	0.5339 	0.54728
0.748 	13.43 	627.273914	16.2522434	0.5406 	0.554022
0.750 	13.44 	629.762587	16.0778433	0.5475 	0.560979
0.751 	13.45 	632.272066	15.9125533	0.5542 	0.567796
0.753 	13.46 	634.786015	15.7493836	0.5611 	0.57468
0.754 	13.46 	637.288816	15.589803	0.5679 	0.581572
0.756 	13.47 	639.763658	15.4271808	0.5750 	0.588688
0.757 	13.48 	642.259831	15.2731019	0.5819 	0.595658
0.758 	13.49 	644.727916	15.1159923	0.5891 	0.602858
0.760 	13.50 	647.192622	14.9615777	0.5963 	0.610102
0.761 	13.51 	649.653981	14.8097959	0.6036 	0.617389
0.763 	13.51 	652.112026	14.6605862	0.6108 	0.624721
0.764 	13.52 	654.559084	14.5145611	0.6181 	0.632066
0.766 	13.53 	656.985248	14.3649878	0.6257 	0.63969
0.767 	13.54 	659.433451	14.2232007	0.6332 	0.647161
0.768 	13.55 	661.837593	14.0798411	0.6408 	0.65482
0.770 	13.56 	664.212784	13.9337187	0.6487 	0.66274
0.771 	13.57 	666.617891	13.7944949	0.6564 	0.670538
0.773 	13.58 	668.97865	13.6537631	0.6644 	0.678537
0.774 	13.59 	671.377184	13.5191048	0.6722 	0.686444
0.776 	13.60 	673.738876	13.3823237	0.6803 	0.694591
0.777 	13.61 	676.089648	13.2483604	0.6885 	0.702765
0.778 	13.62 	678.44469	13.1159906	0.6967 	0.711032
0.780 	13.63 	680.830331	12.9899301	0.7048 	0.719168
0.781 	13.64 	683.178908	12.8617456	0.7131 	0.727558
0.783 	13.65 	685.516733	12.7361578	0.7215 	0.735976
0.784 	13.66 	687.858885	12.6120169	0.7300 	0.744493
0.785 	13.68 	690.19786	12.4898374	0.7385 	0.753075
0.787 	13.69 	692.526205	12.3701029	0.7471 	0.761687
0.788 	13.70 	694.858917	12.2517153	0.7558 	0.770402
0.790 	13.71 	697.188532	12.135168	0.7645 	0.779185
0.791 	13.72 	699.515074	12.0204227	0.7733 	0.788037
0.792 	13.73 	701.831142	11.9079371	0.7822 	0.796922
0.794 	13.74 	704.116916	11.7929261	0.7913 	0.806135
0.795 	13.75 	706.434325	11.6833978	0.8004 	0.815203
0.796 	13.76 	708.741374	11.5760015	0.8094 	0.824306
0.798 	13.77 	711.052876	11.4697484	0.8186 	0.83352
0.799 	13.78 	713.361454	11.3650867	0.8278 	0.84281
0.800 	13.78 	715.667133	11.2619844	0.8083 	0.808326
0.802 	13.79 	717.962595	11.1608586	0.8160 	0.816039
0.803 	13.81 	720.227281	11.0572817	0.8239 	0.823857
0.804 	13.81 	722.524332	10.958702	0.8316 	0.831562
0.806 	13.82 	724.811272	10.8619912	0.8392 	0.83922
0.807 	13.83 	727.102741	10.7662551	0.8469 	0.846888
0.808 	13.84 	729.391446	10.6719022	0.8545 	0.854539
0.810 	13.85 	731.641741	10.5755789	0.8623 	0.862265
0.811 	13.86 	733.924906	10.4839444	0.8699 	0.869879
0.812 	13.87 	736.198127	10.394016	0.8774 	0.877445
0.814 	13.88 	738.475926	10.3049595	0.8850 	0.885022
0.815 	13.89 	740.751067	10.217158	0.8926 	0.892581
0.816 	13.89 	743.016361	10.1309738	0.9001 	0.900093
0.817 	13.90 	745.286259	10.0456063	0.9076 	0.907616
0.819 	13.91 	747.55356	9.96142402	0.9151 	0.915121
0.820 	13.92 	749.818284	9.87840495	0.9226 	0.922608
0.821 	13.92 	752.109637	9.79994999	0.9300 	0.929951
0.822 	13.93 	754.362195	9.71952247	0.9374 	0.937374
0.824 	13.94 	756.619399	9.63982836	0.9448 	0.944808
0.825 	13.95 	758.910676	9.56418788	0.9521 	0.952127
0.826 	13.95 	761.16297	9.48660752	0.9595 	0.959525
0.827 	13.96 	763.405687	9.41041327	0.9669 	0.966878
0.829 	13.97 	765.653082	9.33489295	0.9742 	0.974242
0.830 	13.97 	767.934913	9.26324578	0.9815 	0.98149
0.831 	13.98 	770.177542	9.18969084	0.9888 	0.988819
0.832 	13.99 	772.410706	9.11743305	0.9961 	0.996103
0.833 	14.00 	774.648576	9.04579523	1.0034 	1.0034
0.835 	14.00 	776.877037	8.9754127	1.0106 	1.01065
0.836 	14.01 	779.103176	8.90594121	1.0179 	1.01788
0.837 	14.02 	781.32701	8.83736485	1.0251 	1.0251
0.838 	14.03 	783.518206	8.76666116	1.0324 	1.03243
0.839 	14.03 	785.74441	8.69955042	1.0396 	1.03964
0.841 	14.04 	787.930821	8.63064427	1.0469 	1.04693
0.842 	14.05 	790.121818	8.56232753	1.0542 	1.05424
0.843 	14.06 	792.341093	8.49778973	1.0614 	1.0614
0.844 	14.06 	794.520405	8.43148031	1.0687 	1.06865
0.846 	14.07 	796.659549	8.36345174	1.0760 	1.07599
0.847 	14.08 	798.834093	8.2988344	1.0832 	1.0832
0.848 	14.09 	800.999374	8.23531109	1.0904 	1.09037
0.849 	14.10 	803.169298	8.17230396	1.0976 	1.09756
0.850 	14.11 	805.336931	8.11008329	1.1047 	1.10473
0.851 	14.12 	807.509199	8.04836521	1.1119 	1.11191
0.853 	14.12 	809.672285	7.98768131	1.1190 	1.11905
0.854 	14.13 	811.794802	7.92533087	1.1263 	1.12627
0.855 	14.14 	813.95334	7.86614987	1.1334 	1.13338
0.856 	14.15 	816.102789	7.80795019	1.1404 	1.14044
0.858 	14.16 	819.267153	7.72025884	1.1510 	1.15105
0.860 	14.18 	823.51875	7.6092848	1.1649 	1.16495
0.863 	14.19 	827.736785	7.49816279	1.1789 	1.17895
0.865 	14.21 	831.985225	7.39189584	1.1928 	1.19279
0.867 	14.22 	836.225457	7.28809619	1.2066 	1.20657
0.869 	14.24 	840.457586	7.18668705	1.2203 	1.33511
0.872 	14.25 	844.642306	7.08546144	1.2341 	1.35404
0.874 	14.26 	848.897941	6.99074788	1.2476 	1.37204
0.876 	14.28 	853.099647	6.89629198	1.2611 	1.38982
0.878 	14.29 	857.300381	6.80373	1.2746 	1.40722
0.880 	14.30 	861.533443	6.71522498	1.2879 	1.42538
0.882 	14.31 	865.752578	6.62884961	1.3012 	1.4443
0.885 	14.32 	869.971227	6.54414194	1.3144 	1.4628
0.887 	14.33 	874.182794	6.46125215	1.3275 	1.48094
0.889 	14.34 	878.42781	6.38202339	1.3405 	1.49841
0.891 	14.35 	882.659553	6.30464158	1.3534 	1.51685
0.893 	14.36 	886.891332	6.22868515	1.3663 	1.53613
0.895 	14.36 	891.116605	6.15429767	1.3792 	1.55503
0.897 	14.37 	895.376377	6.08322917	1.3918 	1.57331
0.899 	14.38 	899.623482	6.01376733	1.4044 	1.59118
0.900 	14.38 	903.912261	5.9472725	1.4169 	1.60989
0.902 	14.38 	908.195291	5.88208944	1.4293 	1.62949
